Tube Num,Tank,Combo,Salinity,Population,Sex,Replicate,Date,Length(cm),Weight(g),
86,Tank 12,Combo5,BW,PL,F,1,5.22.15,6.5,6.3,
87,Tank 12,Combo5,BW,PL,F,2,5.22.15,6.6,6.2,
88,Tank 12,Combo5,BW,PL,F,3,5.22.15,6.4,5.5,
89,Tank 12,Combo5,BW,PL,F,4,5.22.15,6.8,6.0,
90,Tank 12,Combo5,BW,PL,F,5,5.22.15,6.4,5.3,
91,Tank 12,Combo5,BW,PP,M,1,5.22.15,8.8,12.4,
92,Tank 12,Combo5,BW,PP,M,2,5.22.15,6.8,6.5,
93,Tank 12,Combo5,BW,PP,M,3,5.22.15,7.4,8.5,
94,Tank 12,Combo5,BW,PP,M,4,5.22.15,6.9,6.5,
95,Tank 12,Combo5,BW,PP,M,5,5.22.15,6.8,6.3,
96,Tank 12,Combo5,BW,PP,F,1,5.22.15,6.9,6.2,
97,Tank 12,Combo5,BW,PP,F,2,5.22.15,7.0,7.2,
98,Tank 12,Combo5,BW,PP,F,3,5.22.15,8.1,10.3,
99,Tank 12,Combo5,BW,PP,F,4,5.22.15,7.5,7.8,
100,Tank 12,Combo5,BW,PP,F,5,5.22.15,6.6,5.3,
1,Tank 8,Combo1,FW,PL,M,1,5-22-15,7.4,8.8,
2,Tank 8,Combo1,FW,PL,M,2,5-22-15,7.6,9.8,
3,Tank 8,Combo1,FW,PL,M,3,5-22-15,7.0,6.5,
4,Tank 8,Combo1,FW,PL,M,4,5-22-15,6.6,6.3,
5,Tank 8,Combo1,FW,PL,M,5,5-22-15,6.7,5.4,
6,Tank 8,Combo1,FW,PL,F,1,5-22-15,7.5,8.6,
7,Tank 8,Combo1,FW,PL,F,2,5-22-15,7.8,9.2,
8,Tank 8,Combo1,FW,PL,F,3,5-22-15,6.9,6.9,
9,Tank 8,Combo1,FW,PL,F,4,5-22-15,7.9,10.2,
10,Tank 8,Combo1,FW,PL,F,5,5-22-15,6.3,5.9,
11,Tank 8,Combo1,FW,PP,M,1,5-22-15,8.1,10.5,
12,Tank 8,Combo1,FW,PP,M,2,5-22-15,7.3,7.0,
13,Tank 8,Combo1,FW,PP,M,3,5-22-15,7.1,7.0,
14,Tank 8,Combo1,FW,PP,M,4,5-22-15,7.3,8.9,
15,Tank 8,Combo1,FW,PP,M,5,5-22-15,7.9,9.4,
16,Tank 8,Combo1,FW,PP,F,1,5-22-15,7.4,8.3,
17,Tank 8,Combo1,FW,PP,F,2,5-22-15,7.4,8.2,
18,Tank 8,Combo1,FW,PP,F,3,5-22-15,8.5,12.2,
19,Tank 8,Combo1,FW,PP,F,4,5-22-15,6.9,6.0,
20,Tank 8,Combo1,FW,PP,F,5,5-22-15,7.6,8.8,
