tank salinity indiv sex pop like unlike like.num unlike.num total
BW-Combo5 BW BW-Combo5-PL-F-3 f PL 1 0 18 0 18
BW-Combo5 BW BW-Combo5-PL-F-4 f PL 1 0 1 0 1
BW-Combo5 BW BW-Combo5-PL-M-3 m PL 0.666666666666667 0.333333333333333 10 5 15
BW-Combo5 BW BW-Combo5-PP-M-2 m PP 0.25 0.75 3 9 12
BW-Combo5 BW BW-Combo5-PL-M-4 m PL 0 1 0 1 1
BW-Combo5 BW BW-Combo5-PL-M-2 m PL 1 0 9 0 9
FW-Combo1 FW FW-Combo1-PL-F-5 f PL 0.75 0.25 30 10 40
FW-Combo1 FW FW-Combo1-PP-F-3 f PP 0.6 0.4 6 4 10
FW-Combo1 FW FW-Combo1-PL-F-3 f PL 0.146341463414634 0.853658536585366 6 35 41
FW-Combo1 FW FW-Combo1-PL-F-2 f PL 0.275862068965517 0.724137931034483 8 21 29
FW-Combo1 FW FW-Combo1-PP-F-2 f PP 1 0 4 0 4
FW-Combo1 FW FW-Combo1-PP-F-4 f PP 0.666666666666667 0.333333333333333 2 1 3
FW-Combo1 FW FW-Combo1-PL-F-1 f PL 0 1 0 1 1
FW-Combo1 FW FW-Combo1-PL-F-6 f PL 1 0 2 0 2
FW-Combo1 FW FW-Combo1-PP-F-1 f PP 1 0 2 0 2
FW-Combo1 FW FW-Combo1-PP-M-4 m PP 0.13953488372093 0.86046511627907 6 37 43
FW-Combo1 FW FW-Combo1-PL-M-2 m PL 1 0 27 0 27
FW-Combo1 FW FW-Combo1-PL-M-6 m PL 0.692307692307692 0.307692307692308 9 4 13
FW-Combo1 FW FW-Combo1-PP-M-3 m PP 0.0909090909090909 0.909090909090909 3 30 33
FW-Combo1 FW FW-Combo1-PL-M-1 m PL 1 0 8 0 8
FW-Combo1 FW FW-Combo1-PP-M-5 m PP 1 0 3 0 3
FW-Combo1 FW FW-Combo1-PL-M-4 m PL 0.666666666666667 0.333333333333333 2 1 3
FW-Combo1 FW FW-Combo1-PP-M-1 m PP 1 0 1 0 1
FW-Combo1 FW FW-Combo1-PP-M-2 m PP 1 0 1 0 1
FW-Combo2 FW FW-Combo2-PP-F-3 f PP 0.8125 0.1875 13 3 16
FW-Combo2 FW FW-Combo2-PL-F-2 f PL 0.285714285714286 0.714285714285714 22 55 77
FW-Combo2 FW FW-Combo2-PP-F-2 f PP 1 0 14 0 14
FW-Combo2 FW FW-Combo2-PL-F-5 f PL 0.357142857142857 0.642857142857143 5 9 14
FW-Combo2 FW FW-Combo2-PP-F-4 f PP 0.157894736842105 0.842105263157895 3 16 19
FW-Combo2 FW FW-Combo2-PL-M-1 m PL 0.88 0.12 22 3 25
FW-Combo2 FW FW-Combo2-PP-M-5 m PP 0.315789473684211 0.684210526315789 12 26 38
FW-Combo2 FW FW-Combo2-PP-M-3 m PP 0.321428571428571 0.678571428571429 18 38 56
FW-Combo2 FW FW-Combo2-PL-M-4 m PL 0.5 0.5 5 5 10
FW-Combo2 FW FW-Combo2-PL-M-6 m PL 0 1 0 11 11
FW-Combo4 FW FW-Combo4-PL-F-4 f PL 1 0 24 0 24
FW-Combo4 FW FW-Combo4-PL-F-3 f PL 1 0 81 0 81
FW-Combo4 FW FW-Combo4-PP-F-3 f PP 0.0263157894736842 0.973684210526316 1 37 38
FW-Combo4 FW FW-Combo4-PP-F-2 f PP 0 1 0 35 35
FW-Combo4 FW FW-Combo4-PL-F-6 f PL 1 0 1 0 1
FW-Combo4 FW FW-Combo4-PP-F-5 f PP 0 1 0 1 1
FW-Combo4 FW FW-Combo4-PL-F-2 f PL 1 0 55 0 55
FW-Combo4 FW FW-Combo4-PP-F-1 f PP 0.09375 0.90625 3 29 32
FW-Combo4 FW FW-Combo4-PP-F-4 f PP 0 1 0 2 2
FW-Combo4 FW FW-Combo4-PL-F-1 f PL 0.5 0.5 1 1 2
FW-Combo4 FW FW-Combo4-PL-M-3 m PL 0.694656488549618 0.305343511450382 91 40 131
FW-Combo4 FW FW-Combo4-PL-M-4 m PL 0.59 0.41 59 41 100
FW-Combo4 FW FW-Combo4-PL-M-2 m PL 0.352941176470588 0.647058823529412 12 22 34
FW-Combo4 FW FW-Combo4-PP-M-1 m PP 0.5 0.5 1 1 2
FW-Combo4 FW FW-Combo4-PP-M-5 m PP 1 0 3 0 3
FW-Combo4 FW FW-Combo4-PL-M-5 m PL 0 1 0 1 1
FW-Combo5 FW FW-Combo5-PP-F-3 f PP 0 1 0 12 12
FW-Combo5 FW FW-Combo5-PP-F-1 f PP 0 1 0 52 52
FW-Combo5 FW FW-Combo5-PP-F-4 f PP 0.0757575757575758 0.924242424242424 10 122 132
FW-Combo5 FW FW-Combo5-PL-F-5 f PL 0.914893617021277 0.0851063829787234 43 4 47
FW-Combo5 FW FW-Combo5-PL-F-2 f PL 0.75 0.25 3 1 4
FW-Combo5 FW FW-Combo5-PL-F-7 f PL 1 0 8 0 8
FW-Combo5 FW FW-Combo5-PL-F-4 f PL 1 0 63 0 63
FW-Combo5 FW FW-Combo5-PL-F-1 f PL 1 0 32 0 32
FW-Combo5 FW FW-Combo5-PP-F-2 f PP 0 1 0 3 3
FW-Combo5 FW FW-Combo5-PL-M-4 m PL 0.835616438356164 0.164383561643836 61 12 73
FW-Combo5 FW FW-Combo5-PL-M-1 m PL 0.266666666666667 0.733333333333333 20 55 75
FW-Combo5 FW FW-Combo5-PP-M-1 m PP 1 0 10 0 10
FW-Combo5 FW FW-Combo5-PL-M-3 m PL 0.357142857142857 0.642857142857143 55 99 154
FW-Combo5 FW FW-Combo5-PL-M-2 m PL 0 1 0 5 5
FW-Combo5 FW FW-Combo5-PL-M-5 m PL 0.419354838709677 0.580645161290323 13 18 31
FW-Combo5 FW FW-Combo5-PP-M-5 m PP 0 1 0 4 4
FW-Combo5 FW FW-Combo5-PP-M-2 m PP 0 1 0 1 1
