offspring father confidence.x mother confidence.y father_combo mother_combo offspring_combo mother.pop father.pop mother.ind father.ind cross.dir cross
BW-Combo2-233 BW-Combo2-PL-M-1 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-1 PLxPL PL-F-4xPL-M-1
BW-Combo2-234 BW-Combo2-PL-M-1 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-1 PLxPL PL-F-4xPL-M-1
BW-Combo2-235 BW-Combo2-PL-M-1 95% BW-Combo2-PP-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PL PP-F-4 PL-M-1 PPxPL PP-F-4xPL-M-1
BW-Combo2-236 BW-Combo2-PP-M-1 95% BW-Combo2-PP-F-2 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PP PP-F-2 PP-M-1 PPxPP PP-F-2xPP-M-1
BW-Combo2-237 BW-Combo2-PL-M-5 95% BW-Combo2-PP-F-2 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PL PP-F-2 PL-M-5 PPxPL PP-F-2xPL-M-5
BW-Combo2-238 BW-Combo2-PL-M-3 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-3 PLxPL PL-F-4xPL-M-3
BW-Combo2-239 BW-Combo2-PL-M-5 95% BW-Combo2-PP-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PL PP-F-4 PL-M-5 PPxPL PP-F-4xPL-M-5
BW-Combo2-240 BW-Combo2-PP-M-2 95% BW-Combo2-PP-F-3 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PP PP-F-3 PP-M-2 PPxPP PP-F-3xPP-M-2
BW-Combo2-241 BW-Combo2-PL-M-1 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-1 PLxPL PL-F-4xPL-M-1
BW-Combo2-242 BW-Combo2-PL-M-1 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-1 PLxPL PL-F-4xPL-M-1
BW-Combo2-243 BW-Combo2-PL-M-1 95% BW-Combo2-PP-F-3 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PL PP-F-3 PL-M-1 PPxPL PP-F-3xPL-M-1
BW-Combo2-244 BW-Combo2-PL-M-3 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-3 PLxPL PL-F-4xPL-M-3
BW-Combo2-245 BW-Combo2-PP-M-1 95% BW-Combo2-PP-F-3 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PP PP-F-3 PP-M-1 PPxPP PP-F-3xPP-M-1
BW-Combo2-246 BW-Combo2-PL-M-5 95% BW-Combo2-PP-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PL PP-F-4 PL-M-5 PPxPL PP-F-4xPL-M-5
BW-Combo2-247 BW-Combo2-PP-M-5 95% BW-Combo2-PP-F-5 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PP PP-F-5 PP-M-5 PPxPP PP-F-5xPP-M-5
BW-Combo2-248 BW-Combo2-PL-M-5 95% BW-Combo2-PP-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PL PP-F-4 PL-M-5 PPxPL PP-F-4xPL-M-5
BW-Combo2-249 BW-Combo2-PP-M-3 95% BW-Combo2-PP-F-5 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PP PP-F-5 PP-M-3 PPxPP PP-F-5xPP-M-3
BW-Combo2-251 BW-Combo2-PL-M-5 95% BW-Combo2-PP-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PL PP-F-4 PL-M-5 PPxPL PP-F-4xPL-M-5
BW-Combo2-252 BW-Combo2-PP-M-5 95% BW-Combo2-PP-F-3 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PP PP-F-3 PP-M-5 PPxPP PP-F-3xPP-M-5
BW-Combo2-253 BW-Combo2-PL-M-1 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-1 PLxPL PL-F-4xPL-M-1
BW-Combo2-254 BW-Combo2-PL-M-4 95% BW-Combo2-PP-F-5 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PL PP-F-5 PL-M-4 PPxPL PP-F-5xPL-M-4
BW-Combo2-255 BW-Combo2-PL-M-1 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-1 PLxPL PL-F-4xPL-M-1
BW-Combo2-256 BW-Combo2-PL-M-1 95% BW-Combo2-PP-F-3 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PL PP-F-3 PL-M-1 PPxPL PP-F-3xPL-M-1
BW-Combo2-257 BW-Combo2-PL-M-1 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-1 PLxPL PL-F-4xPL-M-1
BW-Combo2-259 BW-Combo2-PP-M-2 95% BW-Combo2-PP-F-3 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PP PP-F-3 PP-M-2 PPxPP PP-F-3xPP-M-2
BW-Combo2-260 BW-Combo2-PL-M-1 95% BW-Combo2-PP-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PL PP-F-4 PL-M-1 PPxPL PP-F-4xPL-M-1
BW-Combo2-261 BW-Combo2-PL-M-5 95% BW-Combo2-PP-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PL PP-F-4 PL-M-5 PPxPL PP-F-4xPL-M-5
BW-Combo2-262 BW-Combo2-PP-M-3 95% BW-Combo2-PP-F-3 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PP PP-F-3 PP-M-3 PPxPP PP-F-3xPP-M-3
BW-Combo2-263 BW-Combo2-PL-M-1 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-1 PLxPL PL-F-4xPL-M-1
BW-Combo2-264 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-265 BW-Combo2-PL-M-1 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-1 PLxPL PL-F-4xPL-M-1
BW-Combo2-266 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-267 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-268 BW-Combo2-PL-M-1 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-1 PLxPL PL-F-4xPL-M-1
BW-Combo2-269 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-270 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-272 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-273 BW-Combo2-PL-M-1 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-1 PLxPL PL-F-4xPL-M-1
BW-Combo2-274 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-276 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-277 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-278 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-279 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-280 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-281 BW-Combo2-PP-M-5 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PP PL-F-4 PP-M-5 PLxPP PL-F-4xPP-M-5
BW-Combo2-282 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-283 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-284 BW-Combo2-PL-M-1 95% BW-Combo2-PL-F-3 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-3 PL-M-1 PLxPL PL-F-3xPL-M-1
BW-Combo2-285 BW-Combo2-PP-M-3 95% BW-Combo2-PP-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PP PP-F-4 PP-M-3 PPxPP PP-F-4xPP-M-3
BW-Combo2-286 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-287 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-288 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-289 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-290 BW-Combo2-PP-M-1 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PP PL-F-4 PP-M-1 PLxPP PL-F-4xPP-M-1
BW-Combo2-291 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-292 BW-Combo2-PP-M-1 95% BW-Combo2-PP-F-2 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PP PP-F-2 PP-M-1 PPxPP PP-F-2xPP-M-1
BW-Combo2-295 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-296 BW-Combo2-PP-M-5 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PP PL-F-4 PP-M-5 PLxPP PL-F-4xPP-M-5
BW-Combo2-297 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-299 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-301 BW-Combo2-PP-M-5 95% BW-Combo2-PP-F-3 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PP PP-F-3 PP-M-5 PPxPP PP-F-3xPP-M-5
BW-Combo2-302 BW-Combo2-PP-M-5 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PP PL-F-4 PP-M-5 PLxPP PL-F-4xPP-M-5
BW-Combo2-303 BW-Combo2-PP-M-1 95% BW-Combo2-PP-F-2 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PP PP-F-2 PP-M-1 PPxPP PP-F-2xPP-M-1
BW-Combo2-304 BW-Combo2-PL-M-1 95% BW-Combo2-PP-F-3 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PL PP-F-3 PL-M-1 PPxPL PP-F-3xPL-M-1
BW-Combo2-305 BW-Combo2-PP-M-5 95% BW-Combo2-PL-F-2 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PP PL-F-2 PP-M-5 PLxPP PL-F-2xPP-M-5
BW-Combo2-306 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-309 BW-Combo2-PP-M-1 95% BW-Combo2-PP-F-2 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PP PP-F-2 PP-M-1 PPxPP PP-F-2xPP-M-1
BW-Combo2-311 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo2-312 BW-Combo2-PP-M-1 95% BW-Combo2-PP-F-2 95% BW-Combo2 BW-Combo2 BW-Combo2 PP PP PP-F-2 PP-M-1 PPxPP PP-F-2xPP-M-1
BW-Combo2-316 BW-Combo2-PL-M-4 95% BW-Combo2-PL-F-4 95% BW-Combo2 BW-Combo2 BW-Combo2 PL PL PL-F-4 PL-M-4 PLxPL PL-F-4xPL-M-4
BW-Combo3-001 BW-Combo3-PL-M-5 95% BW-Combo3-PL-F-4 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-4 PL-M-5 PLxPL PL-F-4xPL-M-5
BW-Combo3-002 BW-Combo3-PL-M-2 95% BW-Combo3-PL-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-3 PL-M-2 PLxPL PL-F-3xPL-M-2
BW-Combo3-003 BW-Combo3-PL-M-2 95% BW-Combo3-PL-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-3 PL-M-2 PLxPL PL-F-3xPL-M-2
BW-Combo3-004 BW-Combo3-PL-M-2 95% BW-Combo3-PL-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-3 PL-M-2 PLxPL PL-F-3xPL-M-2
BW-Combo3-005 BW-Combo3-PL-M-2 95% BW-Combo3-PL-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-3 PL-M-2 PLxPL PL-F-3xPL-M-2
BW-Combo3-006 BW-Combo3-PL-M-3 95% BW-Combo3-PP-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-3 PL-M-3 PPxPL PP-F-3xPL-M-3
BW-Combo3-007 BW-Combo3-PL-M-5 95% BW-Combo3-PL-F-2 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-2 PL-M-5 PLxPL PL-F-2xPL-M-5
BW-Combo3-008 BW-Combo3-PL-M-2 95% BW-Combo3-PP-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-3 PL-M-2 PPxPL PP-F-3xPL-M-2
BW-Combo3-009 BW-Combo3-PL-M-5 95% BW-Combo3-PL-F-4 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-4 PL-M-5 PLxPL PL-F-4xPL-M-5
BW-Combo3-010 BW-Combo3-PL-M-3 95% BW-Combo3-PP-F-2 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-2 PL-M-3 PPxPL PP-F-2xPL-M-3
BW-Combo3-011 BW-Combo3-PL-M-2 95% BW-Combo3-PL-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-3 PL-M-2 PLxPL PL-F-3xPL-M-2
BW-Combo3-012 BW-Combo3-PL-M-3 95% BW-Combo3-PP-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-3 PL-M-3 PPxPL PP-F-3xPL-M-3
BW-Combo3-013 BW-Combo3-PL-M-3 95% BW-Combo3-PL-F-4 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-4 PL-M-3 PLxPL PL-F-4xPL-M-3
BW-Combo3-014 BW-Combo3-PL-M-3 95% BW-Combo3-PP-F-2 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-2 PL-M-3 PPxPL PP-F-2xPL-M-3
BW-Combo3-015 BW-Combo3-PL-M-2 95% BW-Combo3-PP-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-3 PL-M-2 PPxPL PP-F-3xPL-M-2
BW-Combo3-016 BW-Combo3-PL-M-2 95% BW-Combo3-PL-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-3 PL-M-2 PLxPL PL-F-3xPL-M-2
BW-Combo3-017 BW-Combo3-PL-M-5 95% BW-Combo3-PL-F-1 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-1 PL-M-5 PLxPL PL-F-1xPL-M-5
BW-Combo3-018 BW-Combo3-PL-M-2 95% BW-Combo3-PP-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-3 PL-M-2 PPxPL PP-F-3xPL-M-2
BW-Combo3-019 BW-Combo3-PL-M-2 95% BW-Combo3-PL-F-4 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-4 PL-M-2 PLxPL PL-F-4xPL-M-2
BW-Combo3-020 BW-Combo3-PL-M-2 95% BW-Combo3-PP-F-2 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo3-021 BW-Combo3-PL-M-5 95% BW-Combo3-PL-F-4 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-4 PL-M-5 PLxPL PL-F-4xPL-M-5
BW-Combo3-022 BW-Combo3-PL-M-2 95% BW-Combo3-PL-F-2 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-2 PL-M-2 PLxPL PL-F-2xPL-M-2
BW-Combo3-023 BW-Combo3-PL-M-2 95% BW-Combo3-PL-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-3 PL-M-2 PLxPL PL-F-3xPL-M-2
BW-Combo3-024 BW-Combo3-PL-M-3 95% BW-Combo3-PP-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-3 PL-M-3 PPxPL PP-F-3xPL-M-3
BW-Combo3-025 BW-Combo3-PL-M-3 95% BW-Combo3-PP-F-2 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-2 PL-M-3 PPxPL PP-F-2xPL-M-3
BW-Combo3-026 BW-Combo3-PL-M-3 95% BW-Combo3-PP-F-1 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-1 PL-M-3 PPxPL PP-F-1xPL-M-3
BW-Combo3-027 BW-Combo3-PL-M-2 95% BW-Combo3-PP-F-2 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo3-028 BW-Combo3-PL-M-2 95% BW-Combo3-PP-F-2 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo3-029 BW-Combo3-PL-M-3 95% BW-Combo3-PL-F-4 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-4 PL-M-3 PLxPL PL-F-4xPL-M-3
BW-Combo3-030 BW-Combo3-PL-M-3 95% BW-Combo3-PP-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-3 PL-M-3 PPxPL PP-F-3xPL-M-3
BW-Combo3-031 BW-Combo3-PL-M-5 95% BW-Combo3-PP-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-3 PL-M-5 PPxPL PP-F-3xPL-M-5
BW-Combo3-032 BW-Combo3-PL-M-2 95% BW-Combo3-PL-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-3 PL-M-2 PLxPL PL-F-3xPL-M-2
BW-Combo3-033 BW-Combo3-PL-M-3 95% BW-Combo3-PP-F-5 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-5 PL-M-3 PPxPL PP-F-5xPL-M-3
BW-Combo3-034 BW-Combo3-PL-M-5 95% BW-Combo3-PP-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-3 PL-M-5 PPxPL PP-F-3xPL-M-5
BW-Combo3-035 BW-Combo3-PL-M-3 95% BW-Combo3-PP-F-2 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-2 PL-M-3 PPxPL PP-F-2xPL-M-3
BW-Combo3-036 BW-Combo3-PL-M-2 95% BW-Combo3-PL-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-3 PL-M-2 PLxPL PL-F-3xPL-M-2
BW-Combo3-037 BW-Combo3-PL-M-3 95% BW-Combo3-PP-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-3 PL-M-3 PPxPL PP-F-3xPL-M-3
BW-Combo3-038 BW-Combo3-PL-M-3 95% BW-Combo3-PP-F-2 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-2 PL-M-3 PPxPL PP-F-2xPL-M-3
BW-Combo3-039 BW-Combo3-PL-M-5 95% BW-Combo3-PL-F-2 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-2 PL-M-5 PLxPL PL-F-2xPL-M-5
BW-Combo3-040 BW-Combo3-PL-M-2 95% BW-Combo3-PL-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-3 PL-M-2 PLxPL PL-F-3xPL-M-2
BW-Combo3-041 BW-Combo3-PL-M-2 95% BW-Combo3-PP-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-3 PL-M-2 PPxPL PP-F-3xPL-M-2
BW-Combo3-042 BW-Combo3-PL-M-2 95% BW-Combo3-PP-F-2 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo3-044 BW-Combo3-PL-M-2 95% BW-Combo3-PP-F-2 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo3-045 BW-Combo3-PL-M-2 95% BW-Combo3-PP-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-3 PL-M-2 PPxPL PP-F-3xPL-M-2
BW-Combo3-046 BW-Combo3-PL-M-2 95% BW-Combo3-PP-F-2 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo3-047 BW-Combo3-PL-M-2 95% BW-Combo3-PP-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-3 PL-M-2 PPxPL PP-F-3xPL-M-2
BW-Combo3-048 BW-Combo3-PL-M-2 95% BW-Combo3-PP-F-2 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo3-049 BW-Combo3-PL-M-2 95% BW-Combo3-PL-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-3 PL-M-2 PLxPL PL-F-3xPL-M-2
BW-Combo3-050 BW-Combo3-PL-M-3 95% BW-Combo3-PP-F-2 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-2 PL-M-3 PPxPL PP-F-2xPL-M-3
BW-Combo3-051 BW-Combo3-PL-M-2 95% BW-Combo3-PP-F-2 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo3-052 BW-Combo3-PL-M-3 95% BW-Combo3-PP-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-3 PL-M-3 PPxPL PP-F-3xPL-M-3
BW-Combo3-053 BW-Combo3-PL-M-2 95% BW-Combo3-PP-F-2 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo3-054 BW-Combo3-PL-M-5 95% BW-Combo3-PP-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-3 PL-M-5 PPxPL PP-F-3xPL-M-5
BW-Combo3-055 BW-Combo3-PL-M-2 95% BW-Combo3-PL-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-3 PL-M-2 PLxPL PL-F-3xPL-M-2
BW-Combo3-056 BW-Combo3-PL-M-5 95% BW-Combo3-PL-F-4 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-4 PL-M-5 PLxPL PL-F-4xPL-M-5
BW-Combo3-057 BW-Combo3-PL-M-3 95% BW-Combo3-PP-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-3 PL-M-3 PPxPL PP-F-3xPL-M-3
BW-Combo3-058 BW-Combo3-PL-M-2 95% BW-Combo3-PP-F-2 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo3-059 BW-Combo3-PL-M-3 95% BW-Combo3-PL-F-1 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-1 PL-M-3 PLxPL PL-F-1xPL-M-3
BW-Combo3-060 BW-Combo3-PL-M-2 95% BW-Combo3-PP-F-2 95% BW-Combo3 BW-Combo3 BW-Combo3 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo3-061 BW-Combo3-PL-M-3 95% BW-Combo3-PL-F-4 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-4 PL-M-3 PLxPL PL-F-4xPL-M-3
BW-Combo3-062 BW-Combo3-PL-M-2 95% BW-Combo3-PL-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-3 PL-M-2 PLxPL PL-F-3xPL-M-2
BW-Combo3-063 BW-Combo3-PL-M-2 95% BW-Combo3-PL-F-3 95% BW-Combo3 BW-Combo3 BW-Combo3 PL PL PL-F-3 PL-M-2 PLxPL PL-F-3xPL-M-2
