offspring father confidence.x mother confidence.y father_combo mother_combo offspring_combo mother.pop father.pop mother.ind father.ind cross.dir cross
BW-Combo1-030 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-031 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-1 PP-M-4 PPxPP PP-F-1xPP-M-4
BW-Combo1-032 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-033 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-1 PPxPL PP-F-2xPL-M-1
BW-Combo1-034 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-035 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-4 PP-M-4 PPxPP PP-F-4xPP-M-4
BW-Combo1-036 BW-Combo1-PL-M-1 95% BW-Combo1-PL-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PL PL-F-1 PL-M-1 PLxPL PL-F-1xPL-M-1
BW-Combo1-037 BW-Combo1-PL-M-2 95% BW-Combo1-PL-F-5 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PL PL-F-5 PL-M-2 PLxPL PL-F-5xPL-M-2
BW-Combo1-038 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-039 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-040 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-041 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-1 PP-M-4 PPxPP PP-F-1xPP-M-4
BW-Combo1-042 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-1 PPxPL PP-F-2xPL-M-1
BW-Combo1-043 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-044 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-045 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-046 BW-Combo1-PP-M-5 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-2 PP-M-5 PPxPP PP-F-2xPP-M-5
